ID	post_title	post_name	post_status	active_lesson	levels
2776	Planteamiento general - Qué es la realidad	planteamiento-general-que-es-la-realidad	publish	1	NULL
2727	Presentación del curso	presentacion-del-curso	publish	1	NULL
2770	Qué es Un curso de milagros	que-es-un-curso-de-milagros	publish	1	11,12,13
2615	Quién es Seth	quien-es-seth	publish	1	11,12,13

